SampleID,Alphaproteobacteria,Gammaproteobacteria,Actinobacteria,Bacteroidetes,Betaproteobacteria,Verrucomicrobia,Firmicutes,Epsilonproteobacteria,Deltaproteobacteria
FW1,14.44576506,12.05112717,32.66956335,15.0653703,15.45700758,2.8895427,1.870506401,0.331235508,1.722424644
FW10,14.6639908,10.92102956,16.45850788,19.93648072,29.07663231,2.903181809,1.37949847,1.336632699,1.291818483
FW11,16.01036572,26.57288155,12.63371198,14.64450636,21.46406095,2.439452098,1.474972235,2.092629036,1.095025622
FW12,13.88071625,12.98053504,13.91578824,16.89106249,28.67135592,1.83738285,1.874403289,5.722580519,1.451590905
FW13,26.45792335,22.57662257,22.05638797,15.12966896,8.095785515,0.954737642,1.523683339,0.74820256,0.720924342
FW14,15.91489196,11.53478947,20.58141574,16.17403503,25.58891725,1.699043314,1.529528671,3.016191571,1.28597315
FW15,18.08740721,12.69995908,19.13567017,16.97679403,24.70822049,1.447694016,1.108664731,2.513492976,1.096974066
FW16,25.38627906,30.79710851,20.57557041,13.52220252,5.506303217,0.773532334,1.030726965,0.270833739,0.689749235
FW17,26.06433763,34.12894803,17.99193344,12.63176354,5.445901448,0.615708357,1.163221168,0.315647955,0.500750151
FW18,16.75467139,12.05892095,23.64436997,14.63476414,22.90201274,2.199793465,1.597724217,2.129649475,1.381446915
FW2,15.69861466,13.07016347,24.65171561,17.7035637,18.16729342,2.657677844,2.059505485,0.859263878,2.139391696
FW3,16.92028915,11.26005884,26.97426105,15.17253473,19.65980165,2.21148413,2.11795881,0.718975898,1.876351733
FW4,15.30113205,13.21824523,25.38627906,15.62067689,18.3913645,3.320148861,1.771135748,0.915768759,1.866609512
FW5,21.32377297,12.75841241,23.6677513,15.04198897,16.99238158,2.511544532,1.870506401,0.738460339,1.825692185
FW6,24.56988095,13.89825225,23.85090505,19.04604174,11.67507745,1.443797128,1.328838922,0.837830992,1.313251369
FW7,14.17882821,14.10089044,11.87187031,18.64855913,29.14482785,1.303509148,1.167118056,6.110320909,1.256746488
FW8,16.72154784,11.61467568,17.45805974,17.15215401,26.36634647,1.819846852,1.519786451,3.26364398,1.377550026
FW9,14.67762991,10.97558599,10.88400912,17.80877969,35.13239678,1.371704694,1.213880716,4.873058862,1.059953627
RE1,30.41131656,16.69621807,20.1254798,17.38791575,7.92042554,1.07554118,1.188550942,0.580636362,1.067747404
RE10,35.17915944,22.0661302,12.59084621,17.36258598,8.50495879,0.670264794,0.652728796,0.504647039,0.800810553
RE11,33.56389923,24.54260273,12.52459911,17.22034955,8.050971299,0.568945697,0.518286149,0.592327027,0.779377667
RE12,27.75948405,26.11304873,14.22948775,17.85749079,9.120667147,0.777429223,0.668316349,0.88849054,0.820294994
RE2,32.62474914,17.38986419,18.43812716,15.57586267,8.633556105,0.946943865,1.200241607,0.722872786,1.106716287
RE3,29.22471407,19.17658749,20.63597218,17.44636907,7.068955439,1.151530503,1.176860277,0.329287064,1.009294079
RE4,13.28254389,56.0216667,11.88550942,8.019796193,4.884749528,0.785222999,3.290922199,0.319544843,0.549461255
RE5,17.46195663,40.37371159,16.83650605,11.15289441,7.813261111,1.118406952,1.971825497,0.77158389,0.880696764
RE6,22.62728212,16.04543772,27.38538277,15.97139684,10.40274341,1.913372172,1.492508232,0.652728796,1.35611714
RE7,19.80983185,21.6959258,13.00781326,18.94667108,18.66219823,1.90752684,0.787171444,1.589930441,1.65033221
RE8,22.9838474,19.65590476,12.19920893,20.02416071,18.2062623,1.024881632,0.900181205,1.474972235,1.646435321
RE9,22.666251,20.61648773,12.493424,17.54963662,17.76396547,2.509596088,0.775480779,1.671765096,1.718527756
SW1,36.16896908,13.3273581,19.15710305,19.16294839,5.588137872,1.093077178,1.326890478,0.465678156,0.761841669
SW10,34.99405725,20.18003624,14.45355883,15.28359605,10.48068118,0.839779436,1.054108295,0.226019523,0.785222999
SW11,37.50560178,20.6281784,13.84954114,13.59429496,10.54108295,0.518286149,0.880696764,0.311751067,0.623502134
SW12,31.32903377,37.44130312,10.08125012,13.05652437,4.09562964,0.539719034,0.84172788,0.635192799,0.713130565
SW13,31.99150478,24.55234495,15.20565828,16.65724919,5.695302301,1.011242523,1.451590905,0.272782183,0.952789198
SW14,32.56239892,20.97305302,15.50377024,18.24912807,6.301268437,0.902129649,1.605517994,0.239658633,0.98201586
SW15,29.51892914,20.49958108,20.04559359,17.12682423,6.3304951,1.344426475,0.954737642,0.344874618,0.921614091
SW16,36.67166767,28.59341816,14.02490112,11.67507745,4.676266002,0.777429223,0.822243439,0.185102196,0.736511895
SW17,27.01907527,34.05880404,16.94367048,13.01171015,4.728873994,0.648831908,0.672213238,0.14028798,0.691697679
SW18,31.96617501,25.31028973,13.24552345,20.0105216,4.512596692,0.524131481,1.102819399,0.637141243,0.761841669
SW2,32.54486293,13.22214212,23.11049627,19.15125772,6.581844397,0.826140327,1.738012197,0.541667479,0.7014399
SW3,31.45178575,14.44186817,24.00678059,18.55698225,6.425968864,1.001500302,1.371704694,0.241607077,0.867057654
SW4,24.23280011,20.70027083,24.10809968,15.46480136,8.984276056,1.194396275,1.268437153,0.483214153,1.001500302
SW5,24.35750054,18.69337334,24.47635563,17.96660367,8.101630848,0.983964305,0.925510979,0.851470101,1.079438069
SW6,26.56703622,18.14975742,22.99553806,17.74058414,8.208795277,1.213880716,1.032675409,0.39748261,1.130097617
SW7,31.67585683,18.84924887,17.85164546,17.35284375,7.56970559,1.174911833,1.587981996,0.278627516,0.913820314
SW8,31.91356702,17.79708902,17.14046334,18.68752801,7.789879781,1.067747404,1.658125986,0.253297742,0.882645208
SW9,26.11499717,35.58638427,12.49537245,13.14225591,7.193655866,1.003448746,0.950840754,0.826140327,0.880696764
