sampleID,lon,lat,salinity,type
moshui5,120.34047,36.288919,0.12,moshui
moshui6,120.335842,36.283179,0.12,moshui
moshui4,120.344227,36.292587,0.14,moshui
moshui1,120.331648,36.277553,0.17,moshui
moshui3,120.326009,36.265904,1.02,moshui
moshui2,120.328322,36.270749,1.19,moshui
wulong1,120.777518,36.634468,1.85,wulong
dagu1,120.116313,36.239872,1.93,dagu
dagu6,120.121218,36.219842,1.93,dagu
wulong2,120.799381,36.617688,2.03,wulong
dagu2,120.122788,36.233466,2.09,dagu
wulong3,120.813948,36.600454,2.26,wulong
dagu3,120.121931,36.227527,2.27,dagu
wulong4,120.836356,36.604262,2.28,wulong
wulong5,120.858486,36.612376,2.36,wulong
wulong6,120.877543,36.60397,2.57,wulong
dagu4,120.114023,36.22475,2.61,dagu
dagu5,120.110137,36.219773,2.86,dagu
dagu7,120.123649,36.185365,3.9,dagu
wulong7,120.898706,36.595113,4.7,wulong
dagu8,120.124806,36.195391,5.06,dagu
moshui7,120.319514,36.25368,6.13,moshui
wulong8,120.915997,36.587114,7.9,wulong
moshui8,120.315773,36.23977,8.51,moshui
wulong9,120.933341,36.578929,8.7,wulong
moshui9,120.320406,36.225964,9.9,moshui
dagu9,120.13368,36.180085,10.7,dagu
wulong10,120.952973,36.572163,11,wulong
moshui10,120.326191,36.216547,12.1,moshui
dagu10,120.14483,36.172568,12.9,dagu
dagu16,120.155297,36.16349,14,dagu
dagu15,120.162573,36.155508,14.3,dagu
wulong16,120.97591,36.569171,14.7,wulong
moshui16,120.331232,36.195518,14.8,moshui
moshui15,120.330848,36.187563,16.4,moshui
moshui11,120.332092,36.205428,16.6,moshui
dagu13,120.179361,36.141129,16.8,dagu
moshui14,120.335509,36.183058,16.9,moshui
moshui12,120.331844,36.214778,17.1,moshui
dagu14,120.170687,36.149344,17.2,dagu
moshui13,120.333971,36.214293,17.4,moshui
wulong15,120.989997,36.565586,19.4,wulong
dagu12,120.186076,36.134055,19.6,dagu
wulong14,121.003524,36.562907,20.2,wulong
wulong13,121.019305,36.557743,21.2,wulong
dagu11,120.189153,36.125393,21.8,dagu
wulong11,121.034799,36.538296,23.1,wulong
wulong12,121.03311,36.550304,23.4,wulong
