variable,type
Chlamydiia,Low-salinity colonizing
Acidobacteria_Gp4,Low-salinity colonizing
Alphaproteobacteria,High-salinity colonizing
Spartobacteria,Low-salinity colonizing
Gemmatimonadetes,Low-salinity colonizing
Epsilonproteobacteria,Low-salinity colonizing
Betaproteobacteria,Low-salinity colonizing
Fusobacteriia,Low-salinity colonizing
Cytophagia,Low-salinity colonizing
Bacilli,Complex
Acidobacteria_Gp16,Low-salinity colonizing
Armatimonadia,Low-salinity colonizing
Caldilineae,Low-salinity colonizing
Deltaproteobacteria,Low-salinity colonizing
Sphingobacteriia,Low-salinity colonizing
Bacteroidia,Low-salinity colonizing
Opitutae,Complex
Mollicutes,High-salinity colonizing
Subdivision3,Low-salinity colonizing
Deinococci,complex
Flavobacteriia,High-salinity colonizing
Acidobacteria_Gp3,Low-salinity colonizing
Acidobacteria_Gp6,Low-salinity colonizing
